,beatmapset_id,beatmap_id,approved,total_length,hit_length,version,file_md5,diff_size,diff_overall,diff_approach,diff_drain,mode,count_normal,count_slider,count_spinner,submit_date,approved_date,last_update,artist,title,creator,creator_id,bpm,source,tags,genre_id,language_id,favourite_count,rating,download_unavailable,audio_unavailable,playcount,passcount,max_combo,diff_aim,diff_speed,difficultyrating
52,104377,274506,1,167,133,Hard,e307cbb263406b31d8a96cba058582d0,4,6,7,6,0,114,120,4,2013-07-12 19:39:20,2013-07-31 22:16:08,2013-07-31 22:12:37,07th Expansion,hope,Leader,631530,130,Umineko no Naku Koro ni,うみねこのなく頃に when they cry dai piano visual novel bgm,2,5,197,9.29238,0,0,207101,62174,402,1.277132511138916,1.1682249307632446,2.4998114109039307
53,29724,100750,1,185,152,Easy,1ce9e6754479a269c9508ecd45d3073c,3,2,3,2,0,94,85,4,2011-05-02 19:13:48,2011-05-19 22:18:19,2011-05-19 22:10:42,07th Expansion,lastendconductor,Natteke,157177,139,Umineko no Naku Koro ni Chiru,zts,2,5,158,9.53969,0,0,61091,25534,489,1.033063530921936,0.9218773245811462,2.0105340480804443
54,29724,100733,1,186,152,Normal,a432fcd88de2bf68837033d7236d582a,4,5,5,4,0,143,125,5,2011-05-02 19:13:48,2011-05-19 22:18:19,2011-05-19 22:10:42,07th Expansion,lastendconductor,Natteke,157177,139,Umineko no Naku Koro ni Chiru,zts,2,5,158,9.53969,0,0,157086,36242,599,1.381229281425476,1.3336344957351685,2.738661050796509
55,29724,98491,1,186,153,Hard,e4c9c16903f2cbddc454e211db173a82,4,7,8,7,0,219,175,3,2011-05-02 19:13:48,2011-05-19 22:18:19,2011-05-19 22:10:42,07th Expansion,lastendconductor,Natteke,157177,139,Umineko no Naku Koro ni Chiru,zts,2,5,158,9.53969,0,0,222568,46611,694,1.9066441059112549,1.586137294769287,3.6530346870422363
56,32417,106083,1,185,166,Normal,ebc8abc426250c4e7c75d349857a6cdb,3,3,5,4,0,73,115,4,2011-06-27 08:12:57,2012-05-20 15:37:56,2012-05-20 14:19:27,07th Expansion,lastendconductor,W h i t e,685229,139,Umineko no Naku Koro ni Chiru,zts frederica bernkastel lambdadelta,2,5,85,9.54756,0,0,24202,9559,578,0.961372435092926,0.8628426194190979,1.873479962348938
57,32417,106081,1,185,166,Hard,d604147daf1537d28b504b7a243384b8,4,6,7,5,0,232,205,1,2011-06-27 08:12:57,2012-05-20 15:37:56,2012-05-20 14:19:27,07th Expansion,lastendconductor,W h i t e,685229,139,Umineko no Naku Koro ni Chiru,zts frederica bernkastel lambdadelta,2,5,85,9.54756,0,0,114282,29125,766,1.5452505350112915,1.4881950616836548,3.0619733333587646
58,22472,78623,1,179,149,Episode 1,016013e3df30da725159593764c6f001,3,1,3,2,0,100,86,3,2010-11-13 05:00:12,2011-03-23 03:15:49,2011-03-23 01:20:44,07th Expansion,liberatedliberater,Shiirn,465126,140,Umineko no naku koro ni Chiru,when they cry bernkastel zts,2,5,451,9.49192,0,0,97351,53928,323,0.9253441095352173,0.9269335865974426,1.8530724048614502
59,22472,78117,1,179,150,Episode 3,30e39e43886309e3891f9d3f30063690,5,3,7,4,0,140,165,4,2010-11-13 05:00:12,2011-03-23 03:15:49,2011-03-23 01:20:44,07th Expansion,liberatedliberater,Shiirn,465126,140,Umineko no naku koro ni Chiru,when they cry bernkastel zts,2,5,451,9.49192,0,0,304315,138246,534,1.171017050743103,1.1802438497543335,2.3558743000030518
60,22472,78367,1,179,150,Episode 5,452966cfd8096257502d507ed4164ba9,5,6,8,9,0,384,132,4,2010-11-13 05:00:12,2011-03-23 03:15:49,2011-03-23 01:20:44,07th Expansion,liberatedliberater,Shiirn,465126,140,Umineko no naku koro ni Chiru,when they cry bernkastel zts,2,5,451,9.49192,0,0,558078,81430,698,2.0529909133911133,2.2525737285614014,4.405356407165527
61,27754,97803,1,161,137,Easy,53e90bc571d2e60f438d48fd38ae932e,2,2,4,2,0,63,88,1,2011-03-20 23:12:55,2011-06-01 15:30:33,2011-06-01 15:26:06,07th Expansion,lixAxil,Shiirn,465126,145,umineko chiru,ep8 furudo erika rokodo,2,5,225,9.40474,0,0,43097,22056,295,0.8001513481140137,0.7735072374343872,1.5869807004928589
62,27754,97683,1,161,136,Normal,a09a037b0611140443ff2f26e4c3c1eb,3,4,5,2,0,85,157,1,2011-03-20 23:12:55,2011-06-01 15:30:33,2011-06-01 15:26:06,07th Expansion,lixAxil,Shiirn,465126,145,umineko chiru,ep8 furudo erika rokodo,2,5,225,9.40474,0,0,91944,33850,525,1.2854481935501099,1.0811617374420166,2.4687530994415283
